Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_300.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_353.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_402.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_453.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_503.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_553.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_603.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_653.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_703.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_753.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_803.jpg;0;0;0;0;99.66999;85.58897;0.0002360342;56.82556;-4.032939E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_854.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_904.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_34_954.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_004.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_054.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
